"Term","Subj","Crse","Crse_Title","CRN","Sect","POT","Camp","Sche_Typ","Inst_Mthd","Contract_Type","Apprv_Seat_Lim","Sect_Seat_Lim","Sect_Seats_Taken","Sect_Seats_Avail","percent_utilization","Start_Dt","End_Dt","Days","Beg_Time","End_Time","Bldg","Rm","Rm_Cap","Instructor","Contract_Type"
202402,MAT,009,"Mathematical Literacy",32275,005,FD,W,LEC,TR,,22,22,0,22,0,1/22/2024,5/14/2024,MW,12:30PM,2:10PM,SFCUA,A213,36,,
202402,MAT,009,"Mathematical Literacy",33156,003,FD,W,LEC,TR,,22,22,0,22,0,1/22/2024,5/14/2024,TR,11:30AM,1:10PM,SFCUA,A115,36,,
202402,MAT,009,"Mathematical Literacy",36432,001,FD,A,LEC,BLBD,,22,22,0,22,0,1/22/2024,5/14/2024,TR,09:30AM,11:10AM,ONLNEA,"RLTIME ONL",999,,
202402,MAT,009,"Mathematical Literacy",37977,004,FD,A,LEC,TR,,22,22,0,22,0,1/22/2024,5/14/2024,MW,12:00PM,1:40PM,RIVRHE,237,32,,
202402,MAT,009,"Mathematical Literacy",38072,002,FD,E,LEC,BLBD,,22,22,0,22,0,1/22/2024,5/14/2024,MW,09:30AM,11:10AM,ONLNEE,"RLTIME ONL",999,,
202402,MAT,101,"SUR MATH REAS",21096,007,FD,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,MW,12:30PM,1:45PM,ONLNEA,"RLTIME ONL",999,,
202402,MAT,101,"SUR MATH REAS",21097,008,FE,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,4:00PM,5:15PM,RIVRHE,202,32,,
202402,MAT,101,"SUR MATH REAS",21755,010,ONL,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEW,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",21812,004,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,TR,09:30AM,10:45AM,SFCUA,A213,36,,
202402,MAT,101,"SUR MATH REAS",21833,009,FE,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,T,6:00PM,8:45PM,ONLNEW,"RLTIME ONL",999,,
202402,MAT,101,"SUR MATH REAS",22161,011,ONL,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEA,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",22164,003,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,RIVRHE,237,32,,
202402,MAT,101,"SUR MATH REAS",22165,005,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,11:00AM,12:15PM,RIVRHE,237,32,,
202402,MAT,101,"SUR MATH REAS",33522,017,ONL,E,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEE,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",34988,013,ONL,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEA,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",35280,006,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,MW,12:30PM,1:45PM,SFCUA,A123,36,,
202402,MAT,101,"SUR MATH REAS",36428,012,ONL,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEA,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",36571,002,FD,E,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,TR,09:30AM,10:45AM,ONLNEE,"RLTIME ONL",999,,
202402,MAT,101,"SUR MATH REAS",37188,018,ONL,E,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEE,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",37411,015,ONL,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEW,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",37602,016,LS,E,LEC,BLBD,,35,35,0,35,0,2/28/2024,5/14/2024,,,,ONLNEE,ONLINE,999,,
202402,MAT,101,"SUR MATH REAS",37664,014,LSE,A,LEC,BLBD,,35,35,0,35,0,3/18/2024,5/14/2024,,,,ONLNEA,ONLINE,999,,
